,Sharpness,Contrast,NIQE,BRISQUE
1.8to0.7,11.02,37.36,21.7,38.92
1.8to0.8,11.83,40.13,19.17,33.78
1.8to0.9,12.42,39.77,16.78,28.92
1.8to1.0,12.44,42.47,23.71,34.7
1.8to1.1,14.27,46.07,25.32,23.13
1.8to1.2,13.66,46.96,17.95,27.71
1.8to1.3,15.0,49.45,18.42,29.35
1.8to1.4,15.55,50.98,20.28,21.64
1.8to1.5,16.06,53.02,14.66,27.22
1.8to1.6,16.48,53.1,20.83,19.21
1.8to1.7,17.13,54.37,24.01,11.42
1.8to1.8,19.11,58.09,21.27,12.41
1.8to1.9,19.48,58.38,16.03,15.14
1.8to2.0,19.85,58.21,13.37,18.59
1.8to2.1,20.11,57.92,13.95,16.31
1.8to2.2,20.84,58.75,20.17,8.47
1.8to2.3,20.76,57.89,22.93,2.8
1.8to2.4,21.66,59.22,29.75,6.4
1.8to2.5,21.85,59.35,25.14,6.19
1.8to2.6,22.24,58.63,26.55,1.4
1.8to2.7,21.6,57.14,24.93,3.42
1.8to2.8,20.31,50.25,25.93,6.81
1.8to2.9,20.24,47.69,26.69,9.47
1.8to3.0,17.46,40.04,29.79,13.66
1.9to0.1,11.99,16.82,20.45,34.52
1.9to0.2,12.2,28.77,24.53,33.79
1.9to0.3,11.25,31.51,28.37,30.11
1.9to0.4,10.82,31.91,26.69,31.0
1.9to0.5,11.19,38.26,22.66,28.99
1.9to0.6,10.64,37.19,20.01,32.53
1.9to0.7,10.47,37.83,27.56,39.0
1.9to0.8,11.05,40.25,20.95,35.01
1.9to0.9,11.65,40.76,20.47,30.38
1.9to1.0,11.99,42.77,16.97,26.37
1.9to1.1,13.15,45.45,22.2,29.94
1.9to1.2,12.88,45.83,30.38,30.55
1.9to1.3,14.62,49.01,22.95,22.31
1.9to1.4,14.88,49.86,17.35,23.19
1.9to1.5,15.32,51.15,19.02,21.12
1.9to1.6,15.47,51.48,21.54,19.56
1.9to1.7,16.22,53.35,16.53,18.25
1.9to1.8,17.52,55.4,18.17,15.79
1.9to1.9,18.86,57.58,16.75,11.24
1.9to2.0,18.99,57.64,25.01,6.57
1.9to2.1,19.4,57.39,22.1,7.16
1.9to2.2,19.93,58.43,20.35,1.22
1.9to2.3,19.92,56.7,27.98,3.25
1.9to2.4,20.44,57.46,21.74,2.82
1.9to2.5,20.69,57.25,31.25,2.52
1.9to2.6,21.17,56.29,32.78,-0.17
1.9to2.7,20.81,55.04,23.01,4.52
1.9to2.8,19.43,49.57,25.85,1.8
1.9to2.9,19.26,46.57,30.29,6.74
1.9to3.0,16.51,38.05,32.29,13.6
2.0to0.1,11.37,15.53,20.51,28.32
2.0to0.2,11.95,31.35,21.67,33.22
2.0to0.3,10.99,32.01,25.75,29.04
2.0to0.4,10.54,35.21,21.7,31.41
2.0to0.5,10.79,38.06,19.22,32.35
2.0to0.6,10.69,37.44,13.2,27.4
2.0to0.7,10.43,37.05,16.33,29.5
2.0to0.8,10.96,40.29,28.91,33.66
2.0to0.9,11.47,41.1,19.95,30.79
2.0to1.0,11.33,43.39,14.37,24.74
2.0to1.1,13.15,45.89,14.74,26.97
2.0to1.2,12.67,46.29,28.7,28.76
2.0to1.3,14.24,48.02,30.81,24.29
2.0to1.4,14.12,48.35,21.35,20.63
2.0to1.5,15.13,51.05,28.45,23.59
2.0to1.6,15.33,52.01,21.16,25.7
2.0to1.7,14.13,58.51,18.96,24.01
2.0to1.8,14.37,58.04,17.99,19.72
2.0to1.9,15.18,60.61,22.05,15.03
2.0to2.0,18.27,61.21,13.35,9.38
2.0to2.1,16.28,62.56,21.32,4.45
2.0to2.2,17.1,64.77,23.3,2.83
2.0to2.3,17.6,64.73,16.04,1.1
2.0to2.4,17.8,63.2,19.46,-1.03
2.0to2.5,17.06,58.66,17.02,-2.52
2.0to2.6,17.26,56.05,16.77,3.32
2.0to2.7,16.06,51.58,15.52,-0.95
2.0to2.8,14.25,43.24,14.4,6.38
2.0to2.9,13.0,37.88,13.4,18.21
2.0to3.0,11.61,32.2,12.38,21.06
2.1to0.1,6.1,8.31,26.03,43.83
2.1to0.2,5.08,15.6,23.06,29.71
2.1to0.3,4.69,20.34,19.59,17.01
2.1to0.4,4.61,24.76,30.19,7.29
2.1to0.5,5.2,29.54,28.83,13.55
2.1to0.6,5.76,33.06,15.18,24.52
2.1to0.7,6.5,35.31,21.6,33.49
2.1to0.8,7.36,38.52,19.72,40.15
2.1to0.9,8.13,41.32,16.12,41.66
2.1to1.0,8.96,43.92,18.54,42.36
2.1to1.1,9.84,46.82,15.75,42.63
2.1to1.2,10.51,48.99,18.01,40.26
2.1to1.3,11.35,51.8,17.79,35.51
2.1to1.4,11.72,52.29,15.93,32.47
2.1to1.5,12.28,53.76,16.83,30.37
2.1to1.6,12.63,54.86,20.26,26.38
2.1to1.7,13.68,57.22,17.33,24.36
2.1to1.8,13.84,56.76,19.88,19.5
2.1to1.9,14.62,59.43,25.19,17.57
2.1to2.0,15.17,59.91,22.04,13.27
2.1to2.1,18.24,61.14,14.29,9.26
2.1to2.2,16.52,63.19,23.46,1.91
2.1to2.3,16.73,62.95,22.7,0.3
2.1to2.4,16.96,61.69,24.11,-1.7
2.1to2.5,16.33,56.47,17.19,-1.37
2.1to2.6,16.3,53.82,15.53,0.04
2.1to2.7,15.52,50.03,15.89,-0.42
2.1to2.8,13.55,42.05,15.45,-0.49
2.1to2.9,12.55,36.83,16.0,16.22
2.1to3.0,11.27,31.23,13.98,18.64
2.2to0.1,6.01,8.58,21.37,36.63
2.2to0.2,5.15,17.19,17.31,20.39
2.2to0.3,4.77,20.49,24.53,8.61
2.2to0.4,4.7,24.55,30.79,-2.66
2.2to0.5,5.1,28.87,20.76,4.23
2.2to0.6,5.61,32.17,15.81,18.92
2.2to0.7,6.47,34.84,12.44,27.84
2.2to0.8,7.26,37.73,17.06,35.58
2.2to0.9,7.95,40.13,14.21,36.25
2.2to1.0,9.0,43.8,12.05,37.73
2.2to1.1,9.83,46.61,19.17,35.04
2.2to1.2,10.52,48.65,13.24,33.41
2.2to1.3,11.34,51.23,13.45,33.87
2.2to1.4,11.74,51.79,15.3,29.35
2.2to1.5,12.16,52.89,15.09,27.93
2.2to1.6,12.58,53.84,19.23,25.1
2.2to1.7,13.71,56.36,19.56,21.78
2.2to1.8,13.75,55.42,19.26,16.45
2.2to1.9,14.3,57.8,19.62,15.89
2.2to2.0,14.64,57.91,23.12,10.44
2.2to2.1,15.23,59.31,20.1,3.82
2.2to2.2,18.22,61.12,13.82,9.59
2.2to2.3,16.34,60.79,20.06,-5.88
2.2to2.4,16.39,59.46,19.49,-0.66
2.2to2.5,15.93,54.5,15.66,-0.19
2.2to2.6,15.66,52.01,15.24,-0.27
2.2to2.7,14.92,48.21,17.83,3.06
2.2to2.8,13.24,40.18,18.48,0.17
2.2to2.9,12.08,35.7,16.37,12.49
2.2to3.0,10.32,30.13,17.25,14.82
2.3to0.1,5.74,9.04,24.95,35.82
2.3to0.2,4.93,17.89,14.04,14.04
2.3to0.3,4.63,21.53,16.58,3.46
2.3to0.4,4.74,25.82,11.06,-1.81
2.3to0.5,5.02,28.88,13.98,4.2
2.3to0.6,5.46,31.86,12.66,16.18
2.3to0.7,6.4,34.24,9.95,23.82
2.3to0.8,7.23,37.77,11.95,36.59
2.3to0.9,7.92,40.23,14.12,39.85
2.3to1.0,8.99,44.19,14.43,37.64
2.3to1.1,9.9,46.81,17.4,37.37
2.3to1.2,10.62,49.19,16.92,34.57
2.3to1.3,11.43,51.41,15.81,35.74
2.3to1.4,11.73,51.53,15.86,34.58
2.3to1.5,12.3,53.13,13.65,32.16
2.3to1.6,12.61,54.22,15.33,26.03
2.3to1.7,13.7,56.81,17.38,19.49
2.3to1.8,13.72,56.04,15.24,17.94
2.3to1.9,14.34,57.74,20.16,17.54
2.3to2.0,14.77,58.22,20.38,16.1
2.3to2.1,15.2,59.54,16.3,10.48
2.3to2.2,15.8,61.33,16.66,7.34
2.3to2.3,18.22,61.12,13.3,9.91
2.3to2.4,16.11,58.99,19.08,-0.97
2.3to2.5,15.28,54.36,19.37,-2.65
2.3to2.6,15.24,51.71,15.43,2.23
2.3to2.7,14.46,48.03,17.19,-4.68
2.3to2.8,12.7,40.45,14.2,1.09
2.3to2.9,11.45,35.07,19.79,12.13
2.3to3.0,10.17,29.57,19.22,24.18
2.4to0.1,5.31,8.05,20.4,34.09
2.4to0.2,4.58,18.89,15.4,8.19
2.4to0.3,4.28,22.65,14.21,0.28
2.4to0.4,4.42,26.35,15.27,-0.58
2.4to0.5,4.73,30.36,15.57,8.49
2.4to0.6,5.38,33.61,14.99,20.09
2.4to0.7,6.32,36.45,15.63,30.24
2.4to0.8,7.14,39.89,16.13,38.0
2.4to0.9,7.83,42.13,16.68,41.14
2.4to1.0,8.94,46.08,19.81,40.23
2.4to1.1,9.94,49.26,17.63,34.92
2.4to1.2,10.59,51.33,22.59,35.82
2.4to1.3,11.4,53.82,19.78,33.73
2.4to1.4,11.69,54.21,21.93,29.82
2.4to1.5,12.2,55.67,17.17,28.64
2.4to1.6,12.68,56.64,18.83,28.84
2.4to1.7,13.68,58.91,14.91,27.06
2.4to1.8,13.68,58.36,16.75,18.32
2.4to1.9,14.38,60.2,21.48,20.35
2.4to2.0,14.56,60.45,23.4,20.26
2.4to2.1,14.98,61.71,25.9,18.58
2.4to2.2,15.68,63.79,23.01,12.63
2.4to2.3,15.88,63.3,20.8,8.97
2.4to2.4,18.21,61.13,13.64,9.97
2.4to2.5,14.83,56.71,21.39,3.28
2.4to2.6,14.69,53.91,22.43,1.62
2.4to2.7,13.82,49.61,15.39,1.31
2.4to2.8,12.29,41.99,13.33,-0.53
2.4to2.9,10.74,36.27,11.94,11.66
2.4to3.0,9.66,30.84,19.27,21.37
2.5to0.1,4.2,6.91,31.52,24.19
2.5to0.2,3.84,20.4,17.21,1.2
2.5to0.3,3.7,23.98,18.84,-0.88
2.5to0.4,3.83,28.34,30.82,11.78
2.5to0.5,4.59,32.32,14.4,29.14
2.5to0.6,5.34,35.67,23.79,39.57
2.5to0.7,6.06,38.08,23.01,40.91
2.5to0.8,7.01,41.56,26.55,48.21
2.5to0.9,7.77,44.17,40.31,43.17
2.5to1.0,8.74,47.62,33.36,42.36
2.5to1.1,9.7,50.92,51.8,37.83
2.5to1.2,10.34,52.71,44.4,36.44
2.5to1.3,11.32,55.92,31.03,32.84
2.5to1.4,11.54,55.96,27.81,30.35
2.5to1.5,12.2,57.91,32.36,29.75
2.5to1.6,12.62,59.42,31.76,27.77
2.5to1.7,13.45,62.32,27.05,29.55
2.5to1.8,13.53,61.75,25.22,27.66
2.5to1.9,14.32,64.05,26.16,27.36
2.5to2.0,14.55,64.17,26.81,23.87
2.5to2.1,14.93,65.63,27.24,23.61
2.5to2.2,15.64,67.57,29.08,23.67
2.5to2.3,15.69,67.51,25.92,20.37
2.5to2.4,15.53,65.68,28.91,21.62
2.5to2.5,18.23,61.2,12.64,9.65
2.5to2.6,14.07,57.18,24.28,19.96
2.5to2.7,13.17,52.5,19.5,14.74
2.5to2.8,11.35,43.45,22.42,13.62
2.5to2.9,10.16,37.64,18.41,14.58
2.5to3.0,8.88,31.39,15.24,15.76
2.6to0.1,4.0,7.17,27.22,20.09
2.6to0.2,3.84,22.09,18.92,3.02
2.6to0.3,3.72,25.94,14.09,5.3
2.6to0.4,3.86,30.59,18.49,16.46
2.6to0.5,4.63,34.13,24.38,34.69
2.6to0.6,5.42,37.87,38.29,46.43
2.6to0.7,6.17,39.92,28.18,46.44
2.6to0.8,7.09,43.42,36.73,45.58
2.6to0.9,7.84,45.57,31.74,46.16
2.6to1.0,8.87,49.48,40.52,40.98
2.6to1.1,9.88,52.86,48.09,41.75
2.6to1.2,10.62,55.04,47.71,39.31
2.6to1.3,11.49,57.89,33.98,35.84
2.6to1.4,11.81,58.36,36.75,32.83
2.6to1.5,12.42,60.28,31.2,29.21
2.6to1.6,12.89,62.07,32.35,30.63
2.6to1.7,13.74,65.18,29.97,28.67
2.6to1.8,13.72,64.4,29.14,27.91
2.6to1.9,14.52,66.89,29.31,27.11
2.6to2.0,14.73,66.71,25.81,24.56
2.6to2.1,15.07,68.32,30.28,25.13
2.6to2.2,15.78,70.32,27.96,21.01
2.6to2.3,15.82,70.46,24.54,24.17
2.6to2.4,15.62,68.44,26.34,21.33
2.6to2.5,14.42,63.48,27.55,20.38
2.6to2.6,18.24,61.26,13.15,9.42
2.6to2.7,13.24,55.28,19.61,16.68
2.6to2.8,11.32,45.5,24.48,16.63
2.6to2.9,10.13,39.4,17.81,15.36
2.6to3.0,8.78,32.64,18.06,15.74
2.7to0.1,4.5,7.79,25.93,21.62
2.7to0.2,4.14,25.67,18.08,1.14
2.7to0.3,3.89,28.0,13.04,0.28
2.7to0.4,4.0,32.31,26.81,23.34
2.7to0.5,4.63,34.75,19.17,37.68
